Standard ,Accepted words
Abang,Bang
Adik,Dik
agak,macam
amat,betul-betul
Anak,Nak
Apa macam,Amacam
Apa pasal,Asal | Apasal
Apabila,Bila
awak,kau
awak,korang
bagaimana,macam mana
bagi,kasi
baharu,baru
bahawa,yang
bantu,tolong
Begini,Gini
Begitu,Gitu
beri,kasi
beritahu,bilang
dan,dengan
Datuk,Atuk | Tuk
Dekat,Kat
Dengan,Ngan
di,kat
Dia orang,Diorang
Dia orang,Diorang | Dorang
Dia punya,Dia nya
emak,mak
Entah,Tah
esok,besok
guna,pakai
guru,ckigu
guru,cikgu
gurunya,cikgunya
Habis,Abih
Haji,Ji
Hajjah,Jah
harus,mesti
Hendak,Nak
hingga,sampai
ibarat,macam
Ini,Ni
Itu,Tu
jika,kalau
juga,pun
Kakak,Akak | Kak
kami,kita orang
kamu,kau
kamu ,korang
kanak,budak
kasihan,kesian
kemudian,lepas tu
kenapa,asal
kerana,pasal
Lelaki,Laki
Lepas itu,Lepas tu | Pastu
letih,penat
lihat,nampak
Macam,Cam
Macam mana,Camne?
melihat,nampak
membantu,tolong
memberi,kasi
memberitahu,bilang
mengapa,asal
mengenai,pasal
mereka,dorang
milik,punya
Ni hari,Niari
pantas,cepat
Pergi,Gi
perlu,kena
pulang,balik
Punya,Nya
rakan,kawan
Sahaja,Aja
sangat,betul-betul
saya,aku
Sayang,Yang
sebuah,satu
sedang,tengah
Sekejap,Jap | Sejap | Kejap
selepas,lepas
Seorang,Sorang
seperti,macam
Sudah,Dah
Sudah,Dah | Udah
Tak payah,Tak yah
telah,dah
Tempat,Pat
tentang,pasal
Terima kasih,Makasih
Tetapi,Tapi
tiada,tak ada
Tidak,Tak